institucion,pais,estado,dominio_en_la_ficha,nota
GLOBAL BANKING TRAINING,UK,dominio_muerto,globalbankingschool.com,"200 OK ENGANOSO: globalbankingschool.com devuelve un 'Index of /' vacio de LiteSpeed (solo cgi-bin), no un sitio. Esta ficha es casi con seguridad un DUPLICADO de 'GLOBAL BANKING SCHOOL UK' de este mismo lote: misma ciudad, misma categoria y mismo puede_vender, y globalbankingschool.com es el nombre viejo de GBS (hoy globalbanking.ac.uk). NO confundir con globalbankingtraining.com, que si existe pero es otra empresa: formacion corporativa en modelado financiero y banca de inversion, sin titulaciones. No adivinar: confirmar con el cliente cual de las dos queria."
Hampsted School of English,UK,dominio_muerto,,"La ficha no traia dominio y ademas el nombre esta mal escrito: es HampstEAD, no Hampsted. La escuela (553 Finchley Road, fundada en 1977) fue absorbida por British Study Centres y renombrada BSC London Hampstead. No queda sitio vivo: hampstead-english.ac.uk es NXDOMAIN, hampstead-english.com es un parking con cartel de 'domain is for sale', y el dominio del grupo british-study.com resuelve DNS pero no responde ni en http ni en https. BSC entro en administracion en 2020. La categoria de la ficha tambien esta mal: era instituto de idiomas, no College Privado."
Hermes Colleges,Canada,sin_catalogo,hermescolleges.ca,"No es un college sino una RED de 6 instituciones privadas de Montreal (Matrix College, Aviron Quebec, Ascent College, Academy of Learning, Veritas College of Technology y Cegep Marie-Victorin). El portal no tiene directorio central de programas: hay que ir sitio por sitio. La ficha lo clasifica como 'College Publico' y es privado (salvo el cegep, que es PPP)."
High Schol Coquitlam SD 43,Canada,otra_institucion,coquitlamcollege.com,"coquitlamcollege.com es Coquitlam College, un college PRIVADO que en 2024 se mudo de Coquitlam a Vancouver. NO es el School District 43, que es sd43.bc.ca y esta vivo. La ficha mezcla las dos: el nombre dice 'SD 43' pero la categoria dice 'College Privado'. Preguntar al cliente cual quiere antes de extraer; el catalogo del college esta en /programs-courses/."
IELI - Intensive English Language Institute,Australia,dominio_muerto,ieli.sa.edu.au,"NXDOMAIN confirmado en apex y www contra DNS de Google (8.8.8.8), no es caida temporal ni WAF ni 403. Era el instituto de ingles de Flinders University (contacto ieli@flinders.edu.au, campus Sturt) y la oferta migro a Flinders University International Academy en flinders.edu.au/international/academy/courses/english, que ya no usa la marca IELI. No pongo ese dominio como dominio_real porque es la universidad anfitriona, no el centro de idiomas de la ficha. Los resultados de buscador que muestran ieli.sa.edu.au vivo son cache viejo."
iMandarin,China,dominio_muerto,imandarin.net,"El dominio vive (www.imandarin.net responde 200) pero geobloquea todo IP extranjero: apex, /en y www devuelven 'prohibido el acceso desde IP extranjera'. Sin salida por IP china no hay extraccion posible. imandarin.com es otro dominio, en venta."
International House Sydney,Australia,dominio_muerto,ihsydney.com.au,"ihsydney.com.au responde 200 pero NO es el colegio: sirve una pagina de parking de Above.com/Trellian (IP 103.224.182.246 con reverse lb-182-246.above.com) que dice 'This domain may be for sale', con redirect por fingerprint. Verificado tambien en /sitemap.xml y en una URL interna profunda, ambas devuelven el mismo parking. IH Sydney Training Services cerro operaciones el 9-dic-2024. ihsydney.com tambien esta parqueado y ihsydney.edu.au no resuelve. Las paginas internas que aparecen en buscadores son cache viejo, no contenido vivo."
IT Step Academy,Bulgaria,otra_institucion,itstep.mx,"itstep.mx es la franquicia MEXICANA de la red IT STEP, con sede en Tijuana, no la bulgara de la ficha. IT STEP es una red internacional con franquicia por pais, asi que el dominio de un pais no sirve para otro: extraer de aqui pondria cursos mexicanos y precios en pesos bajo una ficha de Bulgaria. No pongo dominio de reemplazo porque itstep.bg es NXDOMAIN incluso contra el DNS de Google, aunque los buscadores aun lo indexan; la sede de Sofia (Alabin 58) usa correo @itstep.org. Pedirle el dominio bueno al cliente."
LOKMANI LAW SCHOOL,India,otra_institucion,lokmani.com,"lokmani.com es de Lokmani Memorial Degree College (fundada 2008, Seohara, tel +91-1344 = codigo de Bijnor). Lokmani Law College (fundada 2014, aprobada por el Bar Council) es una entidad distinta del mismo campus y no se le encontro sitio propio. Ojo: el LLB y el BA-LLB si aparecen publicados en lokmani.com bajo el degree college."
Melbourne College of Hair & Beauty,Australia,sin_catalogo,,"La ficha venia sin dominio ni ciudad; encontrado y confirmado: mcohb.edu.au, 200, RTO 21943 y CRICOS 02886G, campus en Level 1, 1 Star Crescent, The District Docklands, Melbourne VIC 3008. El nombre en su propio footer es 'Melbourne College of Hairdressing & Beauty', no 'Hair & Beauty'. La pagina /courses/ existe y anuncia catalogo pero NO publica ni un curso: el HTML solo trae el plugin WP Courseware con initView 'course-archive' vacio. Verificado que no es JS oculto: el sitemap completo tiene solo 13 URLs y ninguna es de curso. El dominio viejo mcohb.com.au ya no resuelve. Por eso sin_catalogo y no dominio_muerto. Fuentes externas dicen que ofrecen Certificate II a Diploma en peluqueria, estetica, maquillaje y negocios, pero eso NO esta en su web; puede_vender=[todos] es demasiado amplio, en realidad es vocacional de belleza."
Menzies Institute of Technology,Australia,dominio_muerto,menzies.vic.edu.au,"NO es cierre: es bloqueo geografico/WAF. El DNS resuelve perfecto (apex y www a 43.250.142.33 y 2400:b800:3:1::39), no hay NXDOMAIN. Lo que falla es la conexion TCP: timeout a los 21s en 443 y en 80, forzando IPv4, con http:// y golpeando la IP directa con Host header; cuatro intentos, siempre igual. Ese rango 43.250.14x.x ya dio el mismo patron con acacia.edu.au en la ronda anterior de esta auditoria. Marcado dominio_muerto solo porque es el estado que cubre 'bloqueo total', pero HAY QUE REVERIFICARLO desde IP australiana o navegador real antes de descartar la ficha. Datos recuperados de indices publicos (studyaustralia.gov.au): 11 cursos vigentes, CRICOS 02815M, campus Level 4 355 Spencer Street West Melbourne mas un segundo campus para automotriz. Niveles Certificate III/IV, Diploma y Advanced Diploma en automotriz, asistencia dental, tecnologia dental, cuidado de mayores, servicios comunitarios y enfermeria."
MLS International,UK,dominio_muerto,,"mls-college.co.uk responde 200 pero NO es un sitio: es un dominio aparcado en venta (title = el propio dominio, meta robots noindex, texto 'Este dominio podria estar en venta'). MLS International College (Bournemouth, fundado 1987) entro en liquidacion durante la pandemia y no reabrio. La ficha no trae ciudad, categoria ni puede_vender. No hay sitio oficial vivo que extraer."
National College of Vocational Education,Australia,otra_institucion,ncver.edu.au,"Confirmado lo que se sospechaba: ncver.edu.au (www 200; apex 403 es solo redireccion/WAF, no sitio muerto) es el National Centre for Vocational Education Research, el instituto nacional de estadistica e investigacion sobre VET en Australia, con sede en Adelaide. Su navegacion es Research and Statistics, RTO Hub, News and Events, About NCVER: publica datos y reportes, NO vende cursos ni tiene catalogo, asi que puede_vender=vocacional,idiomas es falso para este dominio. La coincidencia es solo por las siglas y por estar en Adelaide. NO salgo a adivinar el dominio del supuesto National College of Vocational Education: no lo encontre de forma inequivoca."
Nord Anglia Education,USA,sin_catalogo,,"FICHA MAL PLANTEADA, revisar con el cliente. La ficha no traia dominio, ni ciudad, ni categoria, ni puede_vender. nordangliaeducation.com vive y es Nord Anglia Education, pero NO es una institucion: es un grupo/holding de 90+ colegios premium con sede en Londres, Reino Unido (Nova South, 160 Victoria Street), no en USA como dice la ficha. No publica catalogo de programas: solo un directorio de colegios miembros, cada uno con admisiones propias. Lo que se ensena es K-12 (Early Years, GCSE, IB Diploma, A Levels); no hay pregrado ni posgrado. Extraer 'programas' de aqui no tiene sentido; si el cliente quiere vender, hay que fichar los colegios uno por uno."
North Sydney English College NSEC,Australia,dominio_muerto,northsydneycollege.com.au,"El dominio resuelve y da 200, pero NO es el college: northsydneycollege.com.au es hoy una pagina aparcada de abovedomains.com que dice literalmente This domain may be for sale, con redireccion por FingerprintJS a una landing de anuncios con CMP de consentimiento; el sitemap.xml devuelve esa misma pagina de venta. Causa: Caprock International Pty Ltd (CRICOS 01942A), que operaba como Lloyds International College y North Sydney English College, dejo de dictar cursos el 16-feb-2026 y entro en liquidacion el 20-feb-2026 (caso publicado en el Tuition Protection Service del gobierno). No existe dominio de reemplazo: probe nsec.edu.au, nsec.nsw.edu.au y northsydneyenglishcollege.com.au, todos NXDOMAIN. Ficha inservible, institucion cerrada."
"Nova Southeastern
University’s Barry and Judy Silverman College of Pharmacy.",USA,otra_institucion,isi-education.com,"EL PEOR ERROR DEL LOTE. isi-education.com vive (200 OK, IP japonesa 182.171.66.198) pero es ISI Japanese Language School, una cadena de escuelas de JAPONES con nueve sedes en Tokio, Osaka, Kioto y Nagano. Cero relacion con Nova Southeastern University ni con una facultad de farmacia en Florida. Ofrece 6 cursos de japones (Academic 2 anos, Career 2 anos, corto general, corto career, nocturno y clases privadas). Probablemente alguien mapeo el proveedor de idiomas por el 'puede_vender: idiomas' y engancho la escuela equivocada. NO adivino el dominio correcto: la NSU esta en la ficha siguiente (nova.edu) y su facultad de farmacia cuelga de pharmacy.nova.edu, pero eso lo confirma el cliente."
Ozford college,Australia,otra_institucion,,"HALLAZGO: el Ozford College de la ficha CERRO. La VRQA le cancelo el registro escolar y la aprobacion CRICOS por decision del 16-feb-2026 y dejo de operar el 12-mar-2026; con el se fueron el high school (VCE/VCAL) y el Ozford English Language Centre. El dominio ozford.edu.au sigue vivo pero hoy es solo Ozford Institute of Higher Education, un proveedor distinto del mismo grupo, con 14 titulos de educacion superior (MBA, MIT, MPA, Master of Teaching, 4 bachelors, Diploma of Business) y CERO ingles: la ruta /about/authorized-agents/elicos/ da 404. Si se extrae de aqui, la ficha de un instituto de idiomas termina llena de masters. No propongo dominio alternativo porque la institucion de la ficha ya no existe."
QS,International,sin_catalogo,admissions.qs.com,El dominio vive pero es un portal de login de una plataforma B2B de admisiones (montada sobre Appian). Cero contenido academico publico: inutil para la pasada de extraccion.
SAIbT South Australia Institute of Business and Technology,Australia,sin_catalogo,saibt.sa.edu.au,"HALLAZGO: SAIBT CERRO. saibt.sa.edu.au responde 200 pero es una sola pagina lapida que dice literalmente 'SAIBT is no longer accepting new students' y remite a Navitas y a Eynesbury College (Adelaide); los antiguos alumnos escriben a saibt@navitas.com. Cero cursos publicados. Ademas la ficha tiene mal la ciudad: SAIBT era de Adelaide (pathway a University of South Australia), no de Perth. No pongo eynesbury.edu.au como dominio_real porque es otra institucion, no un rebrand."
Study Group,International,sin_catalogo,studygroup.com,"studygroup.com es corporativo B2B. El sitio estudiantil students.studygroup.com existe pero su sitemap son 156 URLs de destinos, blog y paginas por universidad socia: describe rutas (International Year, Direct Admit, Bellerbys) sin nombrar programas. Los programas concretos estan en los sitios de cada International Study Centre."
The Campbell Institute Limited,New Zealand,dominio_muerto,campbell.ac.nz,"El dominio de la ficha campbell.ac.nz sigue REGISTRADO (nameservers de Azure) pero ya no tiene registro A ni en el apex ni en www: el sitio esta caido, no es un 403 ni un bloqueo de Cloudflare. Comprobado desde el resolver local, desde 8.8.8.8 y con WebFetch (ENOTFOUND en los tres). Google y Bing siguen devolviendo paginas de campbell.ac.nz porque el indice va con retraso - no confundir eso con un sitio vivo. Era escuela de ingles Categoria 1 en Wellington (104 Dixon St) y Auckland, acreditada por Victoria University. Verificar con el cliente si cerro antes de extraer nada."
Thomas Jefferson University,USA,sin_catalogo,jefferson.intostudy.com,"HALLAZGO: el dominio vive y es el centro INTO de Thomas Jefferson University (Philadelphia, PA), pero SU PAGINA DE CATALOGO ESTA ROTA: /en/degrees devuelve HTTP 500 de forma consistente (3 intentos, con y sin User-Agent de Chrome), y esa URL si figura en el propio sitemap.xml. No es bloqueo ni caida temporal del dominio: la portada y el resto de secciones dan 200. Del sitemap se deduce que hay entrada directa de pregrado y de posgrado (/en/summary/directentry-undergraduate y -postgraduate), pero HOY NO HAY UN SOLO PROGRAMA EXTRAIBLE. Si se necesita el catalogo, ir a jefferson.edu; reintentar el 500 antes de la pasada de extraccion."
UniApply,International,otra_institucion,uniapply.com,"uniapply.com NO es una plataforma internacional: es un buscador de colegios K-12 de India operado por Meritto, con miles de colegios en 40+ ciudades indias. La ficha dice International y todos los niveles. Hay al menos 5 marcas homonimas (uniapply.co.uk, uniapply.ai, uniapplyglobal.com, uniapply.com.au); no adivino cual es la del cliente."
University of Hertfordshire - UH,UAE,otra_institucion,herts.ac.uk,"El dominio de la ficha es la universidad anfitriona britanica (Hatfield, UK), NO la operacion de Sharjah que describe la ficha. En EAU la University of Hertfordshire no tiene sede propia ni dominio .ae: los titulos los imparte Success Point College (Sharjah) como socio de educacion transnacional, y la propia herts.ac.uk lo lista en /international/global-study-opportunities/transnational-education-partnerships/success-point-college. Si se extrae herts.ac.uk se carga el catalogo completo del Reino Unido, que no es lo que se vende en Sharjah. No pongo dominio_real porque la entidad de EAU es otra; que el cliente confirme si la ficha se refiere a Success Point College."
UP Education,International,sin_catalogo,up.education,"Sitio corporativo de 230 URLs, casi todas noticias. Dice tener 270 cursos pero no publica ninguno: el catalogo esta repartido en 23 marcas con dominio propio (nzma.ac.nz, yoobee.ac.nz, ichm.edu.au, endeavour.edu.au). Coherente con el vocacional de la ficha."
UP English School,New Zealand,dominio_muerto,,"Ficha sin dominio y NO se encuentra un sitio oficial vivo. La marca existe dentro de UP Education como la escuela de ingles de UP International College New Zealand (345 Queen Street, Auckland; antes ACG English School), pero no tiene web propia: su URL historica partnerships.up.education/up-english esta en NXDOMAIN, up.education/study-options/english-courses da 404 y no hay subdominio de ingles activo. AVISO: auckland.up.education SI devuelve 200 pero YA NO ES DE UP - el subdominio quedo libre y hoy sirve un casino online tailandes ('nova555'). No usarlo como dominio_real ni extraer nada de ahi. Prefiero dejarlo muerto antes que adivinar."
UP International College New Zealand- AUT Certificate in Foundation Studies,New Zealand,otra_institucion,acgedu.com,"El dominio de la ficha, acgedu.com, ES DE OTRA ENTIDAD: hoy es ACG Schools, grupo de colegios privados K-12 (Parnell, Strathallan, Tauranga, Sunderland y Yakarta) que pertenece a Inspired Education. ACG y la division terciaria se separaron: esa division es UP Education y ACG ya no tiene nada que ver con este foundation. Si extraes de acgedu.com te llevas colegios de primaria. Pongo el dominio bueno porque el nombre de la ficha es inequivoco (aut.up.education), pero conviene que lo confirme el cliente. Alli el catalogo es corto: Certificate in Foundation Studies en 3 duraciones (Standard 1 ano, Fast-Track 8-9 meses, Accelerated 4-5 meses) mas Foundation Connect y Pathways Link. Campus 345 Queen St, Auckland."
Whitecliffe University of Applied Sciences,UK,otra_institucion,whitecliffe.de,"OJO resuelto: oxfordinternational.com es de Oxford International Education Group (agente/pathway), o sea corresponde a la ficha 'Oxford International', no a esta; Whitecliffe solo figura ahi como partner. Ademas hay error grave de ficha: Whitecliffe University of Applied Sciences NO esta en Belfast/UK sino en BERLIN, Alemania (antes Berlin International University of Applied Sciences); su sitio propio es whitecliffe.de. Ofrece ~6 programas de Arquitectura, Diseno de Interiores y Negocios."
YMCA,Canada,otra_institucion,ymca.ca,"ymca.ca es la federacion nacional YMCA Canada, no la escuela de idiomas de Montreal. Esa era la Ecole internationale de langues YMCA (ymcalanguages.com) y CERRO definitivamente el 2025-12-19: ymcalanguages.com es hoy NXDOMAIN y ymcaquebec.org ya no menciona cursos de idiomas. Ficha invendible."
