institucion,dominio_anterior,dominio_nuevo,nombre_real,nota
"City St Georges, University of London",city.ac.uk,citystgeorges.ac.uk,"City St George's, University of London","city.ac.uk responde 301 a citystgeorges.ac.uk: fusion de City, University of London con St George's (2024), no es una caida. El catalogo se parte en undergraduate, foundation, postgraduate taught, postgraduate research y short courses. OJO: /study da 403 a fetch pelado y cede con User-Agent de Chrome. Idiomas: la ficha autoriza 'idiomas' pero en el sitio solo se ven short courses de lenguas y pre-sessional, no un instituto de ingles general."
"City, University of London",,citystgeorges.ac.uk,"City St George's, University of London","DUPLICADA: es la misma institucion que la ficha 'City St Georges, University of London' de este mismo lote. La ficha no traia dominio; el nombre 'City, University of London' dejo de existir en 2024 al fusionarse con St George's. Consolidar las dos fichas antes de extraer o el catalogo saldra por duplicado."
Cranfield University,,cranfield.ac.uk,Cranfield University,"La ficha no traia dominio ni ciudad. Cranfield es EXCLUSIVAMENTE de posgrado: no tiene pregrado. El sitio declara 100+ titulaciones y 400+ cursos de desarrollo profesional. Dos campus, Cranfield (Bedfordshire) y Shrivenham (Defence Academy). Si existe pre-Master's, asi que el 'pathway' de la ficha se sostiene."
English Studio,,englishstudio.com,The English Studio,"La ficha no traia dominio ni ciudad. Es una escuela de ingles en LONDRES (junto al British Museum), abierta desde 1997. Catalogo corto: General English, Intensive, Business English, IELTS, versiones nocturnas, cursos online y Young Learners day school. OJO: la home tiene parrafos de SEO spam insertados (casinos online, noticias deportivas de New Jersey) que no son contenido academico; filtrarlos al extraer. Tuvo sede en Dublin y el sitio conserva una pagina de visado irlandes, pero en Locations solo aparece Londres."
Guildford College of Further and Higher Education,,guildford.activatelearning.ac.uk,Guildford College (Activate Learning),"La ficha no traia dominio. guildford.ac.uk responde 301 a guildford.activatelearning.ac.uk: el college se integro al grupo Activate Learning y ya no tiene sitio propio; el catalogo esta bajo el dominio del grupo. OJO con lo que autoriza la ficha: lo unico de idiomas es ESOL, pensado para residentes en UK, no un instituto de ingles para estudiantes internacionales. El grueso son cursos vocacionales, A Levels y aprendizajes. El sitio da 403 a fetch pelado y cede con User-Agent de Chrome."
Liverpool John Moores University,ljmuisc.com,ljmu.ac.uk,,"El dominio de la ficha, ljmuisc.com, NO es la universidad: es el LJMU International Study Centre operado por Study Group, que solo vende pathway (International Foundation Year, International Year One, Pre-Masters y pre-sessional English). puede_vender incluye posgrado y eso solo lo da ljmu.ac.uk. Conte 824 fichas de curso en el sitemap (455 pregrado + 369 posgrado). Si el cliente quiere el pathway, ljmuisc.com sirve; para posgrado hay que usar ljmu.ac.uk."
MANCHESTER METROPOLITAN UNIVERSITY INTERNATIONAL COLLEGE,,mmu.ac.uk,The International College (Manchester Metropolitan University),"Ficha sin dominio. El college NO tiene dominio propio: vive como seccion de la universidad en mmu.ac.uk/international/college. CUIDADO EN LA EXTRACCION: si se extrae del root sale el catalogo entero de Manchester Met firmado como el college. Solo 3 lineas de producto (Foundation, International Year One, Pre-Masters) con ramas por area; los 'mas de 90 grados de progresion' que anuncia son de la universidad, no del college. mmu.ac.uk devuelve challenge de Cloudflare a fetchers simples."
Northumbria University,,northumbria.ac.uk,,"Ficha sin dominio. northumbria.ac.uk vive y lista ~540 fichas de curso en /study-at-northumbria/ (268 BSc, 146 BA, ~230 MSc/MA, 32 degree apprenticeships, 14 foundation). /study-at-northumbria/courses/ redirige a esa pagina y /course-search/ es 404. puede_vender='todos' pero en el sitio no se ve oferta de idiomas independiente ni high school. La pagina pesa 800 KB y puede dar timeout a 30s."
Nottingham Trent University,,ntu.ac.uk,,"Ficha sin dominio. ntu.ac.uk vive pero sus subpaginas devuelven 403 de Cloudflare con UA generico: hace falta UA de Chrome + Sec-Fetch-* + Referer del mismo dominio (la portada si responde directa). El buscador es Funnelback: search.json de ntu-search.funnelback.squiz.cloud da totalMatching=748 en la coleccion ntu~sp-courses (incluye cursos cortos). El pathway de puede_vender lo vende Nottingham Trent International College, de otro operador, que no cuelga de ntu.ac.uk."
Oxford School of English,,oxfordschoolofenglish.com,Oxford School of English,"Ficha sin dominio; confirmado por direccion en la propia web (Oxford OX1 2BZ), coincide con la ciudad de la ficha. 8 productos: General English, Business English for Executives, Cambridge Exam, IELTS, Teacher Refresher Courses, Professional English, Academic Year Programme y Oxford Summer School. Sitio multiidioma (tiene /es/)."
St Clares Oxford,,stclares.ac.uk,"St Clare's, Oxford","Ficha sin dominio, sin categoria y sin puede_vender. www.stclares.ac.uk devuelve 403 a fetchers pelados: responde con UA de Chrome + Sec-Fetch-*. NO hay una pagina indice de cursos: el sitio son cuatro micrositios con prefijo en la URL (/ib-*, /ic-*, /summer-*, /tt-*) y las ~28 fichas de programa hay que sacarlas del sitemap.xml (352 URLs). Es a la vez colegio IB, pathway universitario, escuela de verano y centro de formacion de profesores."
The University of Law,,law.ac.uk,The University of Law,"Ficha sin dominio, sin categoria y sin puede_vender. law.ac.uk vive y es la institucion. Conte 12 fichas de pregrado y 28 de posgrado/profesional. No es solo derecho: tambien vende business, psicologia y criminologia. Multi-campus (Londres, Birmingham, Bristol, Leeds, Manchester, Nottingham, Sheffield, Exeter, Newcastle, Liverpool, Guildford), asi que la ficha sin ciudad no se completa con una sola."
University of Birmingham,,birmingham.ac.uk,University of Birmingham,"Ficha sin dominio. birmingham.ac.uk devuelve 403 con UA generico y 200 con UA de Chrome + Sec-Fetch-*. OJO: /study/undergraduate/courses y /study/postgraduate/courses son 404 y el sitemap.xml (8.102 URLs) NO incluye las fichas de curso. Hay que recorrer las paginas de materia: 45 en pregrado (235 cursos sumados) y 50 en posgrado (274 cursos), total 509. El pathway y el ingles viven en /international/bia (Birmingham International Academy)."
California State University (CSU) San Marcos,,catalog.csusm.edu,California State University San Marcos,"FICHA DUPLICADA: es la misma institucion que 'California State University San Marcos' de este mismo lote, que si trae dominio (csusm.edu). Consolidar antes de extraer o el catalogo saldra dos veces. El catalogo no esta en csusm.edu sino en el subdominio catalog.csusm.edu (Acalog): /academics/ y /admissions/majors-and-programs/ son solo redirecciones meta-refresh hacia alli. No pude contar los programas porque catalog.csusm.edu/content.php esta detras de AWS WAF y devuelve 202 con challenge JS (la portada y /index.php si responden 200); hara falta navegador headless."
California State University San Marcos,csusm.edu,catalog.csusm.edu,California State University San Marcos,"csusm.edu vive y es la universidad, pero es solo portada: el catalogo entero esta en el subdominio catalog.csusm.edu (Acalog), al que /academics/ redirige por meta-refresh. AVISO PARA LA EXTRACCION: catalog.csusm.edu/content.php y /preview_program.php estan detras de AWS WAF y devuelven 202 con challenge JS a cualquier fetcher (r.jina.ai tambien cae); solo la portada y /index.php dan 200. Por eso no hay cantidad_aprox: hace falta navegador headless. Cuatro colleges: Business Administration; Education, Health and Human Services; Humanities, Arts, Behavioral and Social Sciences; STEM. Ficha duplicada con 'California State University (CSU) San Marcos' del mismo lote."
DePaul University,globalgateway.depaul.edu,depaul.edu,,"globalgateway.depaul.edu ya NO es un sitio de DePaul: hace 301 a students.studygroup.com/study-options/direct-admit/depaul-university, propiedad de Study Group, que solo lista ~13 carreras de admision directa para internacionales. El catalogo real (128 majors de pregrado + 145 programas de posgrado) esta en depaul.edu. Extraer del dominio de la ficha da el recorte de un tercero."
James Madison University,isc.jmu.edu,jmu.edu,James Madison University International Study Center,"isc.jmu.edu vive pero es el centro pathway operado por STUDY GROUP (asi lo dice el pie: 'Maintained by Study Group') y solo publica 2 productos: International Year y Direct Admission. El catalogo de JMU (130+ programas) esta en jmu.edu; los majors de pregrado en /academics/undergraduate/majors/. Extraer del dominio de la ficha da 2 filas, no un catalogo."
College of the Canyons,,canyons.edu,,"La ficha no traia dominio: es canyons.edu, y OJO el apex no responde (curl 000), solo www.canyons.edu. Esta en Santa Clarita, CA, con campus Valencia y Canyon Country; la ficha dice 'Canyon'. La portada declara 105 titulos y 204 certificados. El catalogo navegable vive en el SUBDOMINIO canyons.programmapper.ws y es una SPA de JavaScript (2.4 KB de HTML): sin navegador no se extrae nada. Alternativa estatica: www.canyons.edu/administration/instruction/catalog/. Solo hay un bachelor (BS Building Performance)."
ELS,,els.edu,"ELS Language Centers (ELS Educational Services, Inc.)","La ficha no traia dominio ni ciudad. No es una escuela sino una CADENA con 10 centros en EE.UU. (Cincinnati, Cleveland, Houston, Los Angeles County, Melbourne FL, Nashville, Philadelphia, San Francisco North Bay, St. Paul-Minneapolis, St. Petersburg), hoy propiedad de ILSC Education Group. El catalogo son 6 programas que se repiten en cada sede: extraer sin filtrar por centro produce duplicados."
FIU - Florida International University,,fiu.edu,Florida International University,"La ficha no traia dominio: es fiu.edu, en Miami, FL. El sitio declara mas de 190 titulos / 200 programas en 12 colleges. puede_vender=[posgrado] se queda corto, el catalogo publica pregrado y posgrado por igual."
FIU English Language Institute,,eli.fiu.edu,FIU English Language Institute (ELI),"La ficha no traia dominio: el instituto vive en el subdominio eli.fiu.edu (WordPress), no en fiu.edu. OJO extraccion: devuelve 403 a un fetcher sin cabeceras de navegador; con User-Agent de Chrome + Sec-Fetch-* responde 200. Ademas de ~8 programas de ingles (Intensive English, Intensive Conversation, TOEFL Prep, General English, Accent Reduction, English for Professionals, custom, TEFL) ensena 10 idiomas extranjeros bajo /languages/, que no son parte de puede_vender=[idiomas] entendido como ingles."
Fairfax Christian School,,fairfax-christian-school.com,The Fairfax Christian School,"La ficha no traia dominio. CUIDADO con el dominio obvio: fairfaxchristianschool.com (sin guiones) resuelve por DNS pero no sirve HTTPS; solo por HTTP redirige al bueno, que es fairfax-christian-school.com. Esta en DULLES, VA (no en Fairfax), sirve de K4 a grado 12 y tiene programa internacional con ESL. No publica catalogo de cursos: solo destaca 20+ AP y dual enrollment, asi que la extraccion no va a encontrar un listado."
Fisher College,,fisher.edu,Fisher College,"La ficha no traia dominio: es fisher.edu, en Boston, MA (118 Beacon Street). El directorio esta filtrado por tipo de titulo y formato. puede_vender=[pregrado] se queda corto: tambien hay associate, masters (MBA, MS, MA, M.Ed) y certificados."
Inlingua Washington,,idc.edu,inlingua Washington DC / English Unlimited,"La ficha no traia dominio. TRAMPA: inlinguadc.com responde 200 pero NO es el sitio: son 2.5 KB de una plantilla de 'proximamente' con lang='tr' y un reloj de arena, dominio parqueado. El sitio real es idc.edu (Arlington, VA, area de Washington DC), acreditado por CEA y centro oficial de examen IELTS. Ensena tambien espanol, arabe, chino, frances, aleman y ruso."
LIUBrooklyn,,liu.edu,Long Island University - Brooklyn Campus,"La ficha no traia dominio. No hay dominio propio de campus: LIU unifico todo en liu.edu y Brooklyn es la ruta /brooklyn. DUPLICADO: comparte dominio con la ficha 'LIUPost' de este mismo lote; hay que extraer por ruta de campus o los dos catalogos se mezclan. puede_vender=[todos] incluye idiomas, que no aparece en /brooklyn/academics."
LIUPost,,liu.edu,Long Island University - Post Campus,"La ficha no traia dominio. Mismo caso que LIUBrooklyn: no hay dominio de campus, todo cuelga de liu.edu bajo /post. El campus esta en Brookville, Long Island, NY. DUPLICADO de dominio con la ficha 'LIUBrooklyn' de este lote: separar por ruta o se mezclan los catalogos."
Los Angeles City College,,lacc.edu,Los Angeles City College,"La ficha no traia dominio: lacitycollege.edu hace 301 a lacc.edu. La categoria de la ficha es incorrecta: NO es 'College Privado', es un community college PUBLICO del distrito LACCD. OJO extraccion: la pagina de areas de estudio pagina por AJAX de Drupal (el HTML plano solo entrega 18 de ~85 areas, de la A a la C) y devuelve 403 a fetchers sin cabeceras de navegador; la fuente fiable es el College Catalog en /academic-resources/college-catalog."
Loyola University,,loyno.edu,Loyola University New Orleans,"La ficha no traia dominio. La ciudad ('Nueva Orleans') es lo que desambigua: hay varias Loyola en EE.UU. (Chicago, Maryland, Marymount) y esta es Loyola University New Orleans, loyno.edu. Ojo: /academics/programs-degrees redirige a /programs-degrees. puede_vender=[pregrado] se queda corto: hay posgrado, doctorado y facultad de derecho."
Mercer University,,mercer.edu,,"La ficha no traia dominio. mercer.edu vive y declara 180+ programas en 12 escuelas. OJO con la ciudad de la ficha: 'Georgia' es el estado, no la ciudad; el campus principal es Macon, GA, con sedes adicionales en Atlanta, Savannah y Columbus. El catalogo esta en /academics/program-finder, no en la portada."
Montana State University,,montana.edu,,"La ficha no traia dominio. montana.edu vive y es Montana State University, campus Bozeman ('Montana' en la ficha es el estado). El catalogo esta en el SUBDOMINIO catalog.montana.edu (edicion 2026-2027), no en la portada. CUIDADO al extraer: existen otras tres 'Montana State University' con catalogo propio y distinto (Billings en catalog.msubillings.edu, Northern en catalog.msun.edu y Great Falls); la ficha autoriza posgrado, que aqui son 120+ programas de The Graduate School."
Montclair State University,,montclair.edu,,"La ficha no traia dominio ni ciudad. montclair.edu vive y es Montclair State University, en Montclair, Nueva Jersey (mas campus en Bloomfield). 300+ majors, minors y concentraciones en 15 escuelas. Existe ademas montclair.intostudy.com, el portal de pathway de INTO, que es sitio APARTE y no cuelga de este catalogo: no mezclar los dos al extraer."
New England College,nec.intostudy.com,nec.edu,,"MUERTO QUE PARECE VIVO, a medias: nec.intostudy.com (el dominio de la ficha) responde 200 con 272KB y logo de New England College, pero es el portal de INTO University Partnerships y su catalogo esta VACIO: /en/search devuelve '0 results - No programs found' y /en/degrees es solo pagina de marketing sin un solo programa (la cifra '60+ undergraduate y 20+ graduate' de la portada es copy, no listado). /en/courses da 404. Extraer de ahi produce cero programas. El catalogo real esta en nec.edu (Henniker, New Hampshire): unos 220 programas en 28 areas, con asociados, bachelor, master, doctorados y pre-college. La ficha autoriza 'todos', asi que nec.edu es el dominio correcto."
Pace University,,pace.edu,,"La ficha no traia dominio ni ciudad. pace.edu vive y es Pace University: campus en Nueva York, Westchester y Haub Law. El buscador tiene 200+ opciones entre majors, minors, combinados, certificados y two-year degrees; ojo que /find-your-program pelado da 404, hay que entrar por /find-your-program/undergraduate o /graduate. AVISO IMPORTANTE: la ficha solo autoriza 'pathway' y el pathway NO se publica en pace.edu; lo opera Kaplan International Pathways (Global Pathways de pregrado y posgrado) y su catalogo vive en kaplanpathways.com, sitio de un tercero. Confirme el cliente con quien tiene el acuerdo antes de extraer. pace.intostudy.com es NXDOMAIN: INTO no es el proveedor."
Pacific International Academy,,piaschools.edu,,"La ficha no traia dominio. piaschools.edu vive y es Pacific International Academy, en 5000 N. Willamette Blvd, Portland, Oregon, dentro del campus de University of Portland. 6 ofertas (Intensive English, Service Learning, Community English nocturno, cursos grupales tipo Experience America, Study Support y cursos online) sobre 5 niveles de principiante a avanzado, con cuatro clases por termino. Acreditada por ACCET y miembro de English USA, habilitada para visa F-1. Solo idiomas, coherente con puede_vender."
