institucion,accion,dominio_anterior,dominio_nuevo,nombre_nuevo,fusionada_con,evidencia
South Seas Film & Television,corregir_dominio,yoobee.ac.nz,yoobee.ac.nz,,,"South Seas dejo de ser institucion independiente: Wikipedia (Yoobee Colleges) confirma que en 2019 Yoobee Colleges nacio de la fusion de South Seas Film and Television School, Animation College, Design and Arts (Canterbury), AMES y Yoobee School of Design; hoy 'South Seas Campus' es uno de los cuatro campus que lista yoobee.ac.nz (los otros: Auckland City Road, Wellington, Christchurch). NO se fusiona con la ficha de Yoobee porque tiene catalogo propio distinguible por ruta: /courses/film existe y devuelve exactamente 7 cursos - Diploma in Film and TV Production, Diploma in Film and Content Creation, Diploma in Screen and Stage Acting, Diploma in Drama (Screen Acting), Certificate in Creative Media, Certificate in Foundation Skills (Working with People) y AI for Creative Industries. Anclar en esa ruta: la raiz del sitio tiene ~32 cursos de las seis categorias y si la extraccion trae 30 se llevo el catalogo de todo Yoobee."
UP International College New Zealand- AUT Certificate in Foundation Studies,corregir_dominio,aut.up.education,aut.up.education,,,"acgedu.com es de otra entidad: hoy es ACG Schools, el grupo de colegios privados K-12 de Inspired Education; extraer de ahi traeria primaria y secundaria. El sitio real de la ficha es aut.up.education, verificado: se identifica como UP International College New Zealand en alianza con AUT, campus en '345 Queen St | Auckland, New Zealand', y su menu es exactamente el catalogo corto que corresponde - /certificate-in-foundation-studies/, /foundation-connect/ (curso de seis meses) y /pathways-link/ (programa de un ano para menores de 18), mas entry requirements, intakes and fees y una version en chino en /cn/. Volumen esperado: un punado de programas, no un catalogo universitario."
SAE Netherlands B.V.,corregir_dominio,sae.edu,sae.edu,,,"Verificado el 10-sep-2026: la ficha no tenia dominio y el campus holandes no tiene uno propio. https://www.sae.edu/nld/ responde 200 (redirige a www) con lang=""en-GB"" y schema.org WebSite name=""SAE Institute"" url=https://www.sae.edu/nld/. El subsitio holandes es todo suyo: /nld/campuses/amsterdam/ y /nld/campuses/online/ son los unicos campus, y el catalogo cuelga de /nld/courses/ (filtros ?studyarea[]=Audio, Film, Animation) mas paginas de programa colgadas directo de /nld/ (audio-production-studies-and-courses, electronic-music-production-certificate, dj-certificate). Por eso se ancla en /nld/ y no en /nld/courses/: anclar en courses dejaria fuera esas paginas. La ruta es obligatoria porque sae.edu es el sitio global y lo comparten SAE Institute GmbH (/deu/) y SAE Institute Switzerland AG (/che/ y /ch-ge/): sin ruta, las tres fichas se llevarian el catalogo entero de SAE. Confirmado en /nld/courses/ que los bachelors los valida la University of Hertfordshire, no SAE: dato de venta, no de dominio."
SAE Institute Switzerland AG,corregir_dominio,sae.edu,sae.edu,,,"CORRIJO AL AUDITOR EN UN PUNTO IMPORTANTE: dijo que la sede suiza vive solo en /che/, y son DOS rutas. Verificado el 10-sep-2026: https://www.sae.edu/che/ responde 200 en lang=""de-DE"" y su unico campus es /che/campuses/zuerich/ (schema.org con Buckhauserstrasse 24, 8048). Ginebra NO esta ahi: el megamenu de /che/ enlaza <a href=""https://geneva.sae.edu/"">Genf</a>, y ese host redirige 200 a https://www.sae.edu/ch-ge/ (title ""Home - SAE Institute Geneve"", en frances) con su propio catalogo en /ch-ge/courses/ (audio-production-bachelor-programme, film-production, games-programming, web-development, mas una docena de formations courtes). O sea: la ficha cubre dos campus con dos rutas distintas; anclada solo en /che/ se pierde todo Ginebra. Se deja /che/ como ancla y la extraccion DEBE anadir /ch-ge/ (alias geneva.sae.edu). Ojo tambien: en /che/ los bachelors cuelgan de /che/*-ausbildung-studium/ y no de /che/courses/, que solo tiene cursos cortos. Los titulos los valida University of Hertfordshire, confirmado en /che/audio-engineering-ausbildung-studium/."
University of Hertfordshire - UH,corregir_dominio,herts.ac.uk,herts.ac.uk,,,"El auditor no propuso dominio; si hay uno defendible. Verificado el 10-sep-2026 que la ruta que el mismo cito existe y esta viva: herts.ac.uk da 403 a fetch pelado y 200 con User-Agent de Chrome (173 KB), la pagina se titula ""Success Point College | International | Uni of Herts"", su metadata dice currentStatus Live, lastPublished 03 Dec 2025, y el texto literal es ""Success Point College (SPC) In Sharjah, UAE, offers the opportunity to study University of Hertfordshire degrees"". Bajo el encabezado ""University of Hertfordshire courses available at Success Point College"" lista exactamente los 13 programas que se venden en Sharjah: BA (Hons) Advertising and Digital Marketing, Event Management and Tourism, International Business, Business Management, Accounting and Finance, los dos Top-up, MSc International Tourism Hospitality and Event Management y cinco MBA (general, HR, Digital Marketing, Healthcare, Project Management). Esa pagina ES el catalogo de la ficha: nombra a la University of Hertfordshire (igual que la ficha), esta en Sharjah (igual que la ficha) y son 13 programas, no los ~500 de Hatfield. Por eso se ancla ahi y NO en la raiz de herts.ac.uk, que ademas ya la usan otras fichas del cliente (HIC - University of Hertfordshire, en el subdominio hic.herts.ac.uk). NO se pone el sitio de SPC (successpointuae.com, 200, ""Sharjah, UAE"", y el alias successpoint.college que da 503) porque ese sitio no se nombra University of Hertfordshire y mezcla su propia oferta de diplomas nivel 3; ademas seria cambiarle la entidad a la ficha."
"City St George's, University of London",corregir_datos,citystgeorges.ac.uk,,"City St George's, University of London",,"Ficha superviviente de la fusion con 'City, University of London'. Verificado el 10-sep-2026: www.city.ac.uk devuelve 301 a https://www.citystgeorges.ac.uk/ - es la fusion de 2024 con St George's, no una caida, asi que el dominio de la ficha es correcto y no se toca. MATIZO AL AUDITOR: hablo de /study, y esa ruta ya no es el catalogo - /study y /study/courses redirigen a /prospective-students y /prospective-students/courses. El catalogo unico esta en /prospective-students/courses, cuyo titulo es literalmente 'All Degree, Foundation & Short Courses - City St George's, University of London'; ahi se ancla. AVISO DE EXTRACCION (confirmado dos veces): el sitio da 403 a curl pelado y 200 con User-Agent de Chrome; hay que mandar UA de navegador o la ficha parecera muerta. CONTRADICCION QUE NO CORRIJO (no toco puede_vender): la ficha autoriza 'idiomas', pero en el sitio no hay instituto de ingles general - solo el Centre for Language Studies (/about/schools/communication-creativity/the-centre-for-language-studies) y short courses de lenguas en /prospective-students/apply/how-to-apply/short-courses/languages. Corrijo el nombre al oficial, con apostrofo, tal como lo escribe el propio sitio."
GLOBAL BANKING TRAINING,corregir_dominio,globalbankingtraining.com,globalbankingtraining.com,,,"ME SEPARO DEL AUDITOR: propuso tratarla como duplicado de 'GLOBAL BANKING SCHOOL UK' y descarto globalbankingtraining.com como 'otra empresa'; verificado el 10-sep-2026, esa es justamente la institucion que nombra la ficha y NO debe fusionarse. globalbankingtraining.com responde 200 y su titulo es 'Home | Global Banking Training' - coincidencia exacta con el nombre de la ficha - es de Londres, opera desde 2010 y su pie enlaza a https://gedu.global/, el mismo grupo GEDU al que pertenece Global Banking School. Son dos marcas hermanas del mismo grupo con dominios propios (el caso 'miembros distintos de una red' del protocolo), no un duplicado: GBS UK ya es ficha propia con globalbanking.ac.uk (200, 'Award-Winning UK Higher Education Provider | GBS') y cuatro ciudades, mientras esta ficha es solo Londres. Confirmado tambien que el dominio actual esta muerto: globalbankingschool.com devuelve un autoindex de LiteSpeed ('Index of /', 1,3 KB, solo cgi-bin), no un sitio. DOS AVISOS. (1) Volumen casi nulo: el sitio tiene cinco paginas (/about-us/, /tailored-training/, /valuation-olympiad/, /privacy/, /contact-us/), sitemap.xml y robots.txt vacios y ningun listado de cursos - solo categorias genericas (CFA, Investment Banking, Professional Accountancy, Financial Regulatory) y formacion a medida 'de un dia a un ano'. (2) CONTRADICCION QUE NO CORRIJO (no toco puede_vender): la ficha lo marca 'Universidad' con pregrado y posgrado; el sitio se vende como proveedor de formacion profesional y corporativa a bancos de inversion, y los grados que menciona son del grupo GEDU y sus universidades socias, no titulos propios."
"Nova Southeastern
University’s Barry and Judy Silverman College of Pharmacy.",corregir_dominio,pharmacy.nova.edu,pharmacy.nova.edu,,,"Confirmo el diagnostico del auditor con peticion propia: isi-education.com responde 200 y titula 'ISI Japanese Language School [Official]', con JSON-LD que describe escuelas de japones en Tokio, Osaka, Kioto y Nagano — cero relacion con una facultad de farmacia en Florida. El sitio real de esta ficha es pharmacy.nova.edu (200), que titula 'College of Pharmacy | Nova Southeastern University' y se nombra literalmente 'NSU's Barry and Judy Silverman College of Pharmacy' (el nombre viene del donativo de Barry y Judy Silverman), con campus en Fort Lauderdale/Davie y San Juan, Puerto Rico. Publica Pharm.D., Pharm.D. Advanced Standing, Ph.D. in Pharmaceutical Sciences y M.S. Es subdominio propio, no la raiz nova.edu, asi que no comparte host con la ficha 'Nova Southeastern University' y no hay riesgo de mezclar los dos catalogos. Contradiccion que no corrijo: puede_vender=[idiomas] en una facultad de farmacia; es probablemente el error que engancho la escuela de japones."
The University of Oklahoma,corregir_dominio,ou.edu,ou.edu,,,"La ficha nombra la universidad y el portal de pathway no tiene centro propio: www.ou.intostudy.com responde 200 pero declara en su payload programRoutes:['Direct Entry'], o sea INTO solo tramita entrada directa a los titulos de OU, no rutas de preparacion; extraer de ahi daria un punado de paginas de marketing, no el catalogo. El sitio de la universidad es ou.edu (200, redirige a www.ou.edu, titulo 'The University of Oklahoma') y el listado academico cuelga de ou.edu/academics (200); catalog.ou.edu redirige a www.ou.edu/enrollment/academic_publications. Ciudad: la ficha traia el estado; el sitio habla de 'nuestros campus en Norman, Tulsa y Oklahoma City', y el principal es Norman. Aviso para la extraccion: ou.edu/academics se pinta por JavaScript, el HTML crudo no trae ni un enlace de programa."
Thomas Jefferson University,corregir_dominio,jefferson.edu,jefferson.edu,,,"Confirmo el 500 del auditor con peticiones propias: www.jefferson.intostudy.com/en/degrees devuelve HTTP 500 mientras /en responde 200, asi que hoy no hay un solo programa extraible de ese portal. Y aunque se arreglara no serviria: el payload del microsite declara programRoutes:['Direct Entry'], o sea no es un centro de pathway con rutas propias sino entrada directa a los titulos de la universidad. Como la ficha nombra la universidad, el dominio correcto es jefferson.edu (200, titula 'Thomas Jefferson University', Philadelphia) y su listado esta en /academics/programs.html (200, 'Program & Degree List'). Con este cambio la ficha deja de depender de una pagina rota de un tercero."
University of Massachusetts Amherst,corregir_dominio,umass.edu,umass.edu,,,"La ficha nombra a la universidad, no al centro de pathway, asi que el dominio debe ser el suyo. umass.edu y www.umass.edu responden 200 (104.18.21.94) con titulo 'UMass Amherst : UMass Amherst'. El portal actual umass.intostudy.com si existe y esta vivo (200, redirige a www.umass.intostudy.com/en, titulo 'University of Massachusetts Amherst'), o sea NO es el caso txst.intostudy.com/404; simplemente es el centro INTO, no la universidad, y su volumen seria de rutas de preparacion. Confirmo ademas la trampa del render: www.umass.intostudy.com/en/search responde 200 con titulo 'University Course and Degree Finder' y el HTML crudo dice literalmente 'No programs' sin un solo enlace de curso — es pintado por JavaScript, no esta vacio. Ruta del catalogo verificada a mano, y ojo que las obvias NO sirven: /programs, /academics, /academics/programs, /majors, /degrees, /academic-programs, /registrar/academic-catalog y /graduate/programs devuelven todas 404 en umass.edu. La que funciona es www.umass.edu/gateway/academics/explore-our-programs (200), y ademas esta renderizada en servidor: el HTML crudo trae acordeones 'c--accordion-program' con nombre, descripcion y enlace al departamento. Pagina por 'load more': sin parametro salen 20 items (Accounting..Chemical Engineering), con ?page=1 salen 40 y con ?page=5 salen 117 (Accounting hasta 'Women, Gender, Sexuality Studies'); de ?page=5 en adelante se estabiliza en 117, asi que ese es el listado completo y se extrae sin navegador. Ciudad corregida: la ficha decia 'Massachusetts', que es el estado; el campus esta en Amherst, MA."
SAE Netherlands B.V.,corregir_dominio,sae.edu,sae.edu,,,"NO es duplicado de SAE Suiza pese a compartir host: son campus distintos de la red SAE, cada uno con catalogo propio. Se verifico en la tanda anterior que /deu/, /nld/ y /che/ responden 200 con catalogos diferentes, y SAE Institute GmbH ya quedo anclado a /deu/ con ese criterio. Sin la ruta, la extraccion le cargaria a cada campus el sitio global entero."
SAE Institute Switzerland AG,corregir_dominio,sae.edu,sae.edu,,,"NO es duplicado de SAE Netherlands pese a compartir host: son campus distintos de la red SAE. Se verifico que /che/ responde 200 con catalogo propio, distinto de /nld/ y /deu/. Mismo criterio ya aplicado a SAE Institute GmbH (/deu/). Sin la ruta, ambos campus extraerian el sitio global entero y volverian a marcarse como duplicados en la proxima auditoria."
Greystone Institute,corregir_dominio,ilsc.com,ilsc.com,,,"Lo detecto el agente de extraccion del lote 03: greystonecollege.com entero hace 301 permanente a ilsc.com/greystone-college (probadas la raiz, /programs, /australia y /australia/programs; www.greystonecollege.com ni siquiera resuelve). Greystone se integro en ILSC y su catalogo vive en ese dominio. Sin la correccion, toda fila que extraiga apuntaria a ilsc.com y el cargador la descartaria por estar fuera del dominio de la ficha — es decir, la institucion quedaria con cero programas sin que nadie sepa por que. Se ancla a /australia porque la ficha es la sede australiana; ojo con la ciudad Adelaide, Greystone Australia opera varias sedes."
French Woods,corregir_datos,frenchwoods.com,,,,"El dominio es correcto pero el PAIS de la ficha no: dice Francia y es el French Woods Festival of the Performing Arts, un campamento de artes escenicas en 199 Bouchoux Brook Rd, Hancock, NY 13783, EE.UU. Lo detectaron de forma independiente el auditor del lote 06 y el extractor del lote 13. El nombre enganna. Importa porque el filtro geografico es lo primero que usa un estudiante: buscando Francia le saldria un campamento de Nueva York, y buscando EE.UU. no le saldria. El pais se corrige aparte (este canal solo escribe ciudad y nombre)."
Whangaparaoa College,corregir_dominio,wgpcollege.schoolpoint.co.nz,wgpcollege.school.nz,,,"El dominio de la ficha (wgpcollege.schoolpoint.co.nz) redirige a wgpcollege.bridge.school.nz, un SPA de matricula SchoolBridge sin catalogo publico: todo /api/* devuelve el shell y su API interna solo sirve asignaturas, que no son programas. El catalogo real esta en wgpcollege.school.nz, el sitio propio del colegio — otro dominio raiz, asi que el cargador descartaba sus 8 filas por estar fuera del dominio de la ficha. Lo detecto el agente de extraccion del lote 24 y pidio la correccion explicitamente."
