# Lote 15 · 16 instituciones · 2026-08-07 · solo dominios oficiales de cada ficha · 403 reintentados con UA de Chrome + headers completos + DNS 8.8.8.8
Macquarie University | bloquea | mq.edu.au (CNAME a mqu-web.saas.squiz.cloud) | ? | ? | https://www.mq.edu.au/study/find-a-course (destino del 301 de courses.mq.edu.au) | ? | ? | institucion (no verificado en el sitio) | SITIO VIVO, NO MUERTO: Cloudflare managed challenge (cf-mitigated: challenge, "Just a moment...") devuelve 403 a todo fetcher incluso con UA de Chrome y headers de navegador · DNS resuelve OK · hasta robots.txt cae en el challenge · no auditable sin navegador real con JS
Nova Southeastern University | si | nova.edu | Nova Southeastern University | si | https://www.nova.edu/degrees.html | 130+ | Bachelor, Master, Doctorado y profesional (medicina, farmacia, derecho, psicologia, enfermeria) | institucion | CATALOGO NO ENUMERABLE: selector con filtro dinamico por tipo de grado, no lista plana · la ficha marca partner_group "Enrollment Advisory Group EAG" que el sitio NO menciona · puede_vender trae "Pregrado" duplicando "Pregrado & Postgrado"
University of Southern Queensland (UniSQ) | si | unisq.edu.au (139.86.7.80) | University of Southern Queensland (UniSQ) | si | https://www.unisq.edu.au/study/degrees-and-courses | ? (9 areas de estudio) | Pregrado, postgrado, investigacion/PhD, pathway, cursos cortos | institucion | FICHA PRACTICAMENTE SIN CLASIFICAR: tipo_adivinado "curso_corto", category NULL, ciudad NULL y puede_vender VACIO para una universidad completa que otorga hasta PhD · catalogo hibrido (categorias + "Career Finder"), no lista plana
BCUIC - Birmingham City University | redirige | www.bcuic.navitas.com → bcuic.bcu.ac.uk (cross-host) | Birmingham City University International College (BCUIC) | si | https://bcuic.bcu.ac.uk/study/ | ~35 | Pathway pregrado (~20 areas), pathway postgrado (~14 areas), ingles pre-sessional | red (college pathway operado por Navitas dentro del dominio de BCU) | EL DOMINIO NAVITAS DE LA FICHA YA NO ES EL VIGENTE: redirige al dominio de la universidad · category "Universidad" es incorrecto: es un college pathway y NO otorga titulos propios (progresion a un degree de BCU) · puede_vender trae "Foundation & Pre master" DUPLICADO
International House Belfast | si | ihbelfast.com (151.101.66.159) | International House Belfast | si | https://ihbelfast.com/courses/ | ~8-10 | Ingles general e intensivo, prep Cambridge B2/C1/C2 y OET, CELTA (formacion docente), junior 12-17 | institucion (afiliada a la red IH World) | unica de las 3 fichas IH del lote que SI apunta a su dominio propio · category NULL y puede_vender "Todos los programas" cuando solo vende idiomas + formacion docente · la categoria "Foreign Languages" del propio sitio sale vacia ("No data was found")
The University of Newcastle | bloquea | newcastle.edu.au (CNAME a uonew-web.saas.squiz.cloud) | ? | ? | ? | ? | ? | institucion (no verificado en el sitio) | SITIO VIVO, NO MUERTO: Cloudflare managed challenge 403 con UA de Chrome y headers completos · DNS resuelve OK (misma plataforma Squiz que Macquarie) · /study y /degrees tambien 403 · la ciudad "Orimbah" de la ficha parece un error de tipeo de Ourimbah, SIN VERIFICAR por el bloqueo
# nota: 4 fichas (Macquarie, Royal Roads, JCU, Newcastle) quedan como "bloquea" y NO como muertas: 3 son Cloudflare managed challenge (cabecera cf-mitigated: challenge) y 1 es Akamai bot manager; las 4 resuelven en DNS 8.8.8.8. Necesitan navegador real con JS para auditarse.
# nota: ningun dominio de este lote esta muerto. Ninguna ficha quedo sin observaciones.
# nota: "nombre_distinto" cuenta los casos materiales (Leeds Beckett ISC, LSI Portsmouth, IH London); NAIT (sigla sin nombre completo) y WWU/Jefferson (sitio de un tercero con el nombre correcto) quedan documentados en su linea.
# nota: "no_institucion" = WWU (Study Group), Jefferson (INTO), Leeds Beckett (Study Group), LSI Portsmouth (IH World), IH London (IH World), BCUIC (Navitas).
# RESUMEN: ok=0 muertos=0 redirigen=2 nombre_distinto=3 no_institucion=6 duplicados=1 fantasmas=2
