# Lote 26 · 16 instituciones · 2026-08-07 · solo dominios oficiales de cada ficha · 403 reintentados con UA de Chrome · DNS 8.8.8.8 · HTML crudo escaneado por spam inyectado · certificados TLS verificados
SPD - Scoula Politecnica di Design | si | scuoladesign.com | SPD - Scuola Politecnica di Design | parcial | https://www.scuoladesign.com/courses/ | ~15 | Foundation, 4 BA, 8 MA, preparatorios, cursos cortos | institucion (escuela privada de diseno) | ERROR DE TIPEO EN LA FICHA: "Scoula" debe ser "Scuola" · category "Universidad" es incorrecta: es escuela privada de diseno, no universidad
La Trobe University Sydney Campus | bloquea | latrobe.edu.au | ? | ? | ? | ? | ? | ? | CLOUDFLARE CHALLENGE EN TODO EL DOMINIO: 403 con header "Cf-Mitigated: challenge" incluso con UA de Chrome, en /sydney, /campuses/sydney, la home, /courses, /robots.txt y /sitemap.xml · DNS resuelve normal a IPs de Cloudflare (104.20.18.91) · NO ESTA MUERTO, esta protegido · esta ficha necesita revision manual con navegador real: no se pudo verificar si el campus de Sydney sigue operando ni quien lo entrega
Delta School District 37 | si | deltasd.bc.ca (DNS: sd37.upanupdns.com) | Delta School District · School District 37 Delta | si | https://www.deltasd.bc.ca/programs/international-education/ (sitio dedicado: godelta.ca) | 4 formatos | Elementary y Secondary (5 a 18 anios), corto plazo, ano completo, graduacion, verano | red (distrito escolar publico: 31 colegios, 7 secundarios + 24 elementales) | CIUDAD MAL EN LA FICHA: no es Vancouver, es DELTA, BC (4585 Harvest Drive, Delta) · es area metropolitana de Vancouver pero otro municipio · NO ES UNA INSTITUCION UNICA sino un distrito de 31 colegios: la extraccion debe tratarlo como red · el catalogo internacional vive en un dominio aparte (godelta.ca) que no esta en la ficha
SAIbT South Australia Institute of Business and Technology | si (solo aviso) | saibt.sa.edu.au (www redirige a apex) | South Australian Institute of Business and Technology | si | ninguna | 0 | ninguno | institucion CERRADA A NUEVOS ALUMNOS | CERRADA: el sitio solo sirve el aviso "SAIBT is no longer accepting new students" y redirige a Eynesbury College para quienes quieran estudiar en Adelaide · contacto residual saibt@navitas.com · SIN CATALOGO · ADEMAS LA CIUDAD ESTA MAL: la ficha dice PERTH y SAIBT esta en ADELAIDE (South Australia, como dice su propio nombre) · sacar de la oferta
UniApply | si | uniapply.com | UniApply (opera bajo NoPaperForms Solutions Limited · misma casa que Meritto) | si | https://www.uniapply.com/ (buscador dinamico) | miles (ej. Bangalore 3.813 colegios, Delhi 1.798) | Colegios K-12 en India | agencia / plataforma agregadora | NO ES UNA INSTITUCION: es un marketplace B2C/B2B de busqueda y comparacion de COLEGIOS EN INDIA (40+ ciudades) · pais "International" es enganoso: es India · puede_vender "Todos los programas" no tiene sentido aqui · no hay nada vendible para una agencia colombiana de estudios en el exterior · candidata a sacar del catalogo
The University of New South Wales (UNSW) | si | unsw.edu.au | UNSW Sydney | parcial | https://www.unsw.edu.au/study/find-a-degree-or-course | ? (cientos, 10 areas de estudio) | Pregrado, Postgrado coursework, Investigacion HDR, cursos cortos, microcredenciales, online | institucion | puede_vender VACIO y tipo_adivinado "curso_corto" para una universidad Group of Eight completa · category null · el sitio se presenta como "UNSW Sydney", no "The University of New South Wales" · catalogo por BUSCADOR dinamico, no lista enumerable · ciudad null (Sydney)
# nota SPAM INYECTADO: se descargo el HTML CRUDO de los 16 y se escaneo con limites de palabra. CERO inyecciones. Los unicos hits fueron falsos positivos: "cialis" dentro de specialised/specialist/commercialisation (ue-germany, unsw, stotts, torrens), "casinos" en una descripcion legitima de un programa de verano en Las Vegas (Uceda) y "CBD" como Central Business District (UNSW). Todos los contenedores ocultos (display:none / height:1px / iframes width=0) son Google Tag Manager o el banner de cookies iubenda. Sin eval(atob), sin fromCharCode, sin granjas de enlaces externos.
# nota TLS: ningun certificado vencido. Unico a vigilar: pathway.brunel.ac.uk vence 2026-08-15 (7 dias). Todos los certs llegan re-firmados por el MITM local (Avast Web/Mail Shield) que conserva la vigencia original.
# nota "muertos": SAIBT cuenta como muerto comercialmente (dominio vivo, institucion cerrada a nuevos alumnos). La Trobe NO se cuenta como muerto: es Cloudflare, queda pendiente de revision manual.
# nota "fantasmas": William Blue es el unico caso: el dominio de la ficha es una pagina de herencia dentro de Torrens y la institucion ya no existe como marca separada.
# nota "no_institucion": LSI (red de 14 escuelas), Exsportise (operador de campamentos), Delta SD 37 (distrito de 31 colegios) y UniApply (plataforma agregadora).
# nota "nombre_distinto" cuenta los casos materiales (Stott's/Acknowledge, LBIC/Brunel Pathway College, William Blue/Torrens); los tipeos y parciales menores (Scoula, Pathwat, Exportise, UCEDA, UNSW Sydney) quedan documentados en su linea.
# RESUMEN: ok=0 muertos=1 redirigen=3 nombre_distinto=3 no_institucion=4 duplicados=0 fantasmas=1
