# Lote 40 · 2026-08-07 · (lote final · sólo 10 fichas, no 16)
# institucion_en_ficha | dominio_responde | dominio_real | nombre_real_en_el_sitio | nombre_coincide | url_de_programas | cantidad_aprox | niveles | tipo | alerta

IBU | si | ibu.ca | International Business University (IBU) | parcial (la ficha guarda solo la sigla) | https://ibu.ca/programs/ | ~13 | Pregrado: 3 especializaciones de Bachelor of Commerce (Honours). Postgrado: 7 especializaciones de MBA + 2 de MSc in Applied AI | institucion (Designated Learning Institution privada de Ontario; programas aprobados por el Ontario Ministry of Colleges and Universities) | La ficha guarda solo "IBU", sigla AMBIGUA que colisiona con otras instituciones (International Burch University, International Business School): poner el nombre completo "International Business University". Tiene campus en Toronto Y Ottawa — la ficha solo registra Toronto. `category: Universidad` es matizable: es institucion privada con consentimiento para otorgar grados, no una universidad publica con acreditacion tradicional. `puede_vender: "Todos los programas"` es razonable dado el catalogo pequeno. Sin avisos de cierre ni contenido inyectado.

Elite School of Beauty and Spa | si | www.elitebeautyschool.co.nz (detras de Azure Front Door) | "Elite School of Beauty and Spa" — el pie declara: "is one of the trading names for the registered PTE Yoobee Colleges. Your enrolment is with Yoobee Colleges Ltd" | si (pero es una MARCA COMERCIAL, no la entidad legal) | https://www.elitebeautyschool.co.nz/makeup-beauty-courses | 3 (+ programas Gateway y STAR) | Vocacional NZQA: Certificate in Skin Care & Cosmetics (Nivel 3), Certificate in Beauty Therapy (Nivel 4), New Zealand Diploma in Beauty Therapy (Nivel 5) | institucion (marca comercial del PTE registrado Yoobee Colleges Ltd, grupo UP Education) | La entidad que MATRICULA no es "Elite School of Beauty and Spa" sino Yoobee Colleges Ltd: el nombre de la ficha es un trading name, no un PTE registrado ante NZQA. Si el catalogo asume una entidad por ficha, esta marca y las demas marcas de Yoobee/UP Education van a colisionar. `partner_group: UP Education` CONFIRMADO en el sitio ("Partnered with UP Education"). `puede_vender: Vocacionales` es correcto y el catalogo es minusculo (3 cursos). Ningun curso marcado como cerrado a matriculas; hay Open Day activo en Wellington, o sea que opera fuera de Auckland (la ficha solo registra Auckland).

Saint Stephen's College | redirige | saintstephenscollege.net.au -> https://www.saintstephenscollege.net.au/ | Saint Stephen's College — CRICOS 01938G | si | https://www.saintstephenscollege.net.au/learning/ | 4 etapas + programas de enriquecimiento | K-12: Early Learning Centre, Junior College, Senior College (pathways QCE), programas Optima de enriquecimiento, co-curriculares; seccion "International" con alojamiento y soporte para estudiantes internacionales | institucion (colegio independiente co-educativo, afiliacion religiosa) | FICHA VACIA para una institucion perfectamente vendible: `ciudad: null`, `category: null`, `partner_group: null`, `puede_vender: []` y `tipo_adivinado: "curso_corto"` cuando es un colegio K-12 con CRICOS activo (01938G) y area internacional propia. Ciudad real: Upper Coomera, Gold Coast, Queensland. Deberia poder venderse como High School — definir `puede_vender`. `sitio` sin esquema http(s):// en la ficha. Sin spam inyectado en el HTML crudo.

RPI ensselaer Polytechnic Institute | si | www.rpi.intostudy.com — dominio COMERCIAL de INTO University Partnerships, NO el de la universidad (rpi.edu). DNS: CNAME a `redirects-dbfwemejhdf2heb4.a03.azurefd.net` | "Rensselaer Polytechnic Institute (RPI)" con branding y footer de INTO | parcial (el nombre de la ficha tiene ERRATA: "ensselaer", falta la R) | https://www.rpi.intostudy.com/en/degrees y el buscador https://www.rpi.intostudy.com/search — este ultimo devuelve **"0 results · No programs found"** con filtro y sin filtro | 0 enumerables | Solo rutas de admision DIRECTA a pregrado (first-year y transfer) en 5 escuelas. NO hay ningun pathway INTO: ni International Year One, ni Graduate Pathway, ni Academic English | agencia / partner comercial (INTO), no la institucion | CRITICO: CATALOGO VACIO. El buscador de programas del propio sitio devuelve 0 resultados, asi que no hay NADA extraible de este dominio. Ademas el convenio INTO-RPI es de RECLUTAMIENTO Y MARKETING (anunciado por INTO en 2026), no un centro de pathways con producto propio: `puede_vender: ["Graduate Degrees","Undergraduate and Graduate"]` no corresponde a ningun producto INTO vendible aqui, y el catalogo academico real de RPI vive en rpi.edu (fuera de esta ficha). Corregir la errata del nombre. `ciudad: "Nueva York"` es el ESTADO: RPI esta en Troy, NY. Este mismo patron intostudy.com aparece en 5 lotes mas (05, 13, 15, 18, 21) — revisar si a esos tambien les quedo el buscador vacio.

James Madison University | si | isc.jmu.edu — es subdominio de jmu.edu pero lo SIRVE STUDY GROUP: CNAME a `studygroup.secure.edgekey.net` y el certificado TLS presenta CN=www.studygroup.com | "James Madison University International Study Center"; el pie dice literalmente "Maintained by Study Group" | parcial (el sitio no es JMU sino su International Study Centre operado por Study Group) | https://isc.jmu.edu/programs/ | 2 | International Year (pathway de 1 a 4 semestres) + Direct Admission (pregrado). Menciona 15 grados STEM-designated de JMU pero no los lista. Sin pre-master, sin postgrado, sin English-only | agencia / partner comercial (Study Group) sobre subdominio de la universidad | El `sitio` NO da acceso al catalogo de JMU (jmu.edu, cientos de programas) sino al ISC de Study Group con solo 2 rutas. `puede_vender: "Undergraduate, International year"` es coherente con lo que hay, PERO `category: Universidad` induce a creer que se vende el catalogo completo de James Madison University: si un asesor promete grados de JMU desde esta ficha, no hay respaldo. `ciudad: "Virginia"` es el ESTADO: la ciudad real es Harrisonburg, VA. Ninguno de los 2 programas marcado como discontinuado.

# NOTAS DE METODO
# - Lote incompleto por diseno: lote_40.json trae 10 fichas, no 16 (es el ultimo del corte).
# - NINGUN dominio del lote esta muerto. Los 11 hosts resolvieron en DNS publico (8.8.8.8) y
#   devolvieron 200 con UA de Chrome. Los `curl` sin `-k` dan 000 por el MITM de TLS de la red
#   local, NO por caida: todos los certificados vienen re-firmados por "Avast Web/Mail Shield
#   Root", asi que las fechas de vencimiento observadas son las del MITM, no las reales.
#   No se detecto ningun certificado vencido ni ningun WAF que bloqueara (0 respuestas 403).
# - Revisados explicitamente por spam/contenido inyectado en el HTML crudo:
#   inflorenceacademy.it, saintstephenscollege.net.au, ibu.ca, elitebeautyschool.co.nz.
#   Ninguno con contenido ajeno a la institucion.
# - Dos certificados delatan al operador real del dominio: isc.jmu.edu presenta
#   CN=www.studygroup.com, y rpi.intostudy.com resuelve a un endpoint Azure llamado "redirects-".
# - Redirecciones: las 3 marcadas como `redirige` (UWA, Holmes, Saint Stephen's) son
#   normalizaciones triviales www<->apex o http->https, NO cambios de marca ni de dominio.
#   Ninguna redireccion cross-host en cadena hacia un partner comercial.
# - Duplicados: 1 cross-lote (UWA en lote_38 y lote_40, con metadata contradictoria).
#   Ninguno dentro del propio lote 40.
# - `sitio` sin esquema http(s):// en 2 fichas: ICM (www.umanitoba.ca/) y Saint Stephen's College.
#   `sitio` con query string de afiliado en 1: IMG Academy (?rep=9681).
# - `ciudad` con el ESTADO/PROVINCIA en lugar de la ciudad en 5 de 10 fichas: ICM (Manitoba ->
#   Winnipeg), IMG Academy (Florida -> Bradenton), RPI (Nueva York -> Troy), James Madison
#   (Virginia -> Harrisonburg) y ademas UWA/Saint Stephen's con ciudad null. Es un patron
#   sistematico del catalogo, no un error suelto de este lote.
# - Criterio de "ok": dominio correcto + nombre coincide + es institucion educativa + catalogo
#   accesible. Todas las 10 fichas tienen alguna observacion; "ok" no significa "sin alerta".

# RESUMEN: ok=7 muertos=0 redirigen=3 nombre_distinto=4 no_institucion=2 duplicados=1 fantasmas=1
